channel_network, N
NA, 21647
CNN, 12687
CSPAN, 11563
MSNBC, 6939
CNBC, 4426
FOX, 4372
CSPAN2, 2661
COMP, 1618
PBS12, 1496
ABC6, 1453
CFNN, 1189
FNN, 1096
ABC, 963
CBS, 957
CNNFN, 949
BBC, 864
NBC, 847
ABC5, 501
PBS, 494
NBC10, 483
NBC3, 442
CBS3, 429
CBS10, 414
PBS2, 379
FOX29, 311
NBC4, 247
CH5, 239
E, 190
FOXNEWS, 185
CBS7, 169
NBC7, 156
CBS4, 132
COMEDYCENTRAL, 102
CH2, 101
CH4, 94
CH7, 92
TECHTV, 91
FOX25, 86
COMPB, 76
HBO, 68
TLC, 68
CH6, 66
NICKELODEON, 64
A, 60
E30, 49
FOX11, 46
NBCCH4, 39
COMEDY, 37
CH10, 36
OJNEWS, 31
CNN8, 26
CH44, 25
CH3, 23
ABCCH5, 22
CH12, 22
CSP, 20
NEWS, 20
CNBC38, 19
CBSCH7, 18
PBS11, 18
ILLEGIBLE, 17
PBS44, 17
TLC32, 17
CMMFH, 16
NOVA, 13
FOODNETWORK, 13
CH38, 13
NBC6, 12
NBR, 12
, 11
CFMM, 11
BOOKTV, 11
ESPN, 10
NBC9, 10
NBC109, 10
JCN, 10
CH11, 9
ABC4, 9
CBS2, 9
CNBC23, 8
CC, 8
CH59, 8
TECHTV42, 7
COMPTECHTV, 7
ABC10, 7
FOX2911, 7
CH39, 7
CH35, 7
MTV, 6
CNNFM, 6
TELECOURSES, 6
PBS1211, 6
CH9, 6
2, 6
PB12, 6
CH31, 6
BET, 6
BKTV, 5
FOX51, 5
COMPMSNBC, 5
COMPFOX, 5
CSPAN1, 5
BLANK, 5
CNN24, 5
FOOD, 5
CH37, 5
CHANNEL7, 4
HLN, 4
CBC, 4
CH34, 4
MSNBC65, 4
NEWSPBS, 4
N, 4
NICK, 4
CH8, 4
CH13, 4
FNN23, 4
CH36, 4
MACTV, 4
CH68, 4
ABC3, 4
B2, 3
B3, 3
NBC5, 3
CPSAN, 3
MSN, 3
440, 3
CSPAN250, 3
CNN4, 3
390, 3
NICKATNITE, 3
BCNBC, 3
CNBCFNN, 3
NIGHTLINE, 3
BBCCSPAN, 3
HISTORYCHANNEL, 3
MSNBCFOX, 3
20, 3
TLC34, 3
FOX19, 3
TV, 3
49CSPAN, 3
DISCOVERY, 3
HISTORY, 3
CSPANCNN, 3
CBS12, 3
CH56, 3
HBO2, 3
CH62, 3
CH21, 3
CH42, 3
CH30, 3
CH57, 3
ME, 3
U, 3
CH99, 3
VARIOUS, 2
CSP2, 2
ABCNEWS, 2
PBS39, 2
CSPAN49, 2
WYBC, 2
C, 2
CBS32, 2
LCNBC, 2
CBSNBC, 2
COMPBBC, 2
CSPANCSPAN2, 2
NEWSHOUR, 2
CMBC, 2
POLITICALLYINCORRECTABC6, 2
FACE, 2
COMPCSPAN, 2
BOOKILLEGIBLETV, 2
NITELINE, 2
NBC16, 2
380, 2
LIFETIME, 2
MSNBC8, 2
30, 2
CNBC31, 2
TELECOURSE, 2
ABC6CNN, 2
ABC11, 2
CBS321, 2
CH49, 2
CHANNEL34, 2
MS, 2
MSNBCCNBC, 2
CNNCSPAN, 2
10, 2
PBI12, 2
LABELMISSING, 2
CNNHL, 2
MSNC, 2
TV12, 2
CPAN2, 2
ABC7, 2
CH1, 2
CBS3NBC10, 2
PBS10, 2
CNBC47, 2
CH23, 2
TLC36, 2
CH33, 2
MSNBC37, 2
CH25, 2
STARZ, 2
CH17, 2
SNN, 1
TTV, 1
OSNEWS, 1
CH2PBS, 1
IMMNEWS, 1
COMEDYNBC10ABC6NBC10, 1
NBCFOX, 1
CSPANFOX, 1
CHANNEL22, 1
HDLN, 1
CNM, 1
NBCABC, 1
BBCMSNBC, 1
320670, 1
BU, 1
WASHINGTONJOURNAL, 1
NBC110, 1
BBCAMERICA, 1
CSAN, 1
470, 1
BBCTV, 1
NNC, 1
C47, 1
CNNN, 1
FNC, 1
BBCC48, 1
NASCI, 1
BBCAM, 1
ABCCH38, 1
C44, 1
CMSNBC, 1
WHYY, 1
UNLISTED, 1
NBCABCAMNEWS, 1
SCITECH, 1
LCSPAN2, 1
HEADLINENEWS46, 1
SICCSPAN2, 1
KALB, 1
BBC23, 1
MSNCH2, 1
CH4NBC, 1
NBCCH7, 1
2008CAMPNIILLEGIBLEIHANNITYSAMIECCUFOSGOVTCOVERUP, 1
CH3NBC, 1
ABE, 1
PBP12, 1
NEWCNN, 1
COMPESP, 1
COMPCNBC, 1
SCI, 1
NATGEO, 1
SCIENCE, 1
SUMMIT, 1
CSPANI, 1
CH44CH2, 1
ABCCH4, 1
CBSCH5, 1
MBC, 1
CNNCH6, 1
ABCCH6, 1
ESPNCH4, 1
CNNCH8, 1
NBCCH3, 1
ABCCH2, 1
EVE, 1
WGH, 1
WJWK, 1
WGHWK, 1
CBSCH3, 1
CNB, 1
CSPAN241, 1
CSPAN14, 1
COMPCH65, 1
COURTTV, 1
COMPDAILYSHOW, 1
CNNFNB, 1
SSPAN, 1
ABCORNBCUNCLEAR, 1
CBSCOMPB, 1
CNNCTL, 1
MTG, 1
FOXNEWSSUNDAY, 1
MSNBC30, 1
FOXSUNDAY, 1
COPM, 1
CNNILLEGIBLE, 1
ECH30, 1
PT2, 1
TALKBACK, 1
KELLYFLINN, 1
SUN, 1
COMMENCEMENTCLIPS, 1
GORE, 1
NAACP, 1
NEWSRADIO, 1
CNBCCH47, 1
CHANNEL6, 1
TECHTVMSNBC, 1
MSD, 1
FOODNETW, 1
HDBMO, 1
CIP, 1
DEAN, 1
JOE, 1
CH75, 1
FOXNBC, 1
CNNNBC, 1
COMPCSP, 1
BOOK, 1
29, 1
CHANNEL2, 1
CBSPM, 1
600, 1
60, 1
330, 1
5, 1
THEBBC, 1
CV, 1
5000, 1
2020SPECIAL, 1
650, 1
SSPAN2, 1
CBS1211, 1
NBC108, 1
CNN30, 1
23, 1
CBS13, 1
NBC10FOX11, 1
MSNBCCBS3, 1
ABC6CBS3, 1
ABC6FOX29, 1
WB5, 1
NBC20, 1
CHANNEL12, 1
CNBE, 1
06666666666666666, 1
NEWSNIGHTIME, 1
77XM, 1
CABC, 1
SCUPAM2, 1
70, 1
PBS23, 1
NPR12, 1
BBCCSP, 1
MKTS, 1
CBSCH39, 1
49CNN, 1
ABC1, 1
PBS12ABC6, 1
PBS9, 1
WASHJ, 1
COMPNICKATNITE, 1
COMPNN, 1
CBN, 1
FOXSAT, 1
BUTBUT, 1
CSPAB, 1
PBC, 1
MISCCSPAN, 1
CHNL23, 1
NBC18, 1
NBC12, 1
NBC1, 1
CMM, 1
CFMN, 1
CBX, 1
ZDTV, 1
CNBCNEWS, 1
CCSPAN, 1
DISC, 1
ABCCH10, 1
NBC10CBS3, 1
MSNBC2, 1
CNNFOXNEWS, 1
CSPANMSNBC, 1
CNNILLEGIBLEMSNBC, 1
COMEDYCHANNEL59, 1
WLN, 1
250, 1
WGN, 1
CH6ABC, 1
RBS12, 1
POLITICALLYINCORRECT, 1
7AM, 1
3PM, 1
STARRREPTALL, 1
CNET, 1
310, 1
PBS3, 1
NBCCH9, 1
MSNBCCOMP, 1
CNBC2, 1
ANC6, 1
CH47, 1
AE, 1
MSNBCSAT, 1
COMPAPPLE, 1
STARR, 1
NNBC, 1
CU, 1
CNBC12, 1
CBC3, 1
ABC6NBC10, 1
340, 1
CBS3ABC6, 1
OPRAH, 1
FRONTLINE, 1
SUNDAYCNN, 1
PBSDOC, 1
FOX28, 1
FOX29NEWS, 1
FOXTV, 1
CH95, 1
MTV24, 1
760, 1
SAT, 1
CBST, 1
KNBC23, 1
ABC65, 1
TNN, 1
WPHL, 1
CNNLN, 1
PBS6, 1
WB, 1
FX, 1
ABC9, 1
NBC4ABC5, 1
CBS7PBS2, 1
FOX10, 1
NBC8, 1
CPSAN2, 1
WABX44, 1
CNBC4, 1
DISCOVERY32, 1
E33, 1
CNNFNN, 1
PBC11, 1
WLTV, 1
CBS10ABC6, 1
CH40, 1
MDLM, 1
CH22, 1
7, 1
CNBC9, 1
4, 1
CH16, 1
KPBS, 1
KQED, 1
CH3X, 1
CNNHLN, 1
TNT, 1
TLSC, 1
CSPAN36, 1
CSPAN231, 1
WYBE, 1
WKDY, 1
TCM44, 1
CH28, 1
CBS6, 1
ET, 1
3, 1
AC6, 1
CSAPN, 1
FOX26, 1
CH76, 1
CH65, 1
CNBCABC5, 1
CH19, 1
E42, 1
PBS4, 1
CSPAN3, 1
CH41, 1
TVLAND, 1
E30NBC3, 1
FOX23, 1
CH29, 1
WGN33, 1
TBS, 1
CH46, 1
CNN7, 1
FOX9, 1
FX25, 1
CH26, 1
APC6, 1
CSPANSUN, 1
WPHC, 1
CNS, 1
WHYY11, 1
SUNDAY, 1
G8PEACE, 1
